question_id,doc_id,question_type,difficulty,question,gold_answer,evidence,expected_behavior,model,model_answer,latency_sec,status,error
Q001,DOC-01,fact,easy,"아포칼립스 : 안티엔바이 1, 2단계 클리어 시 새로 얻을 수 있는 주요 재화는 무엇인가?","광휘의 잔영을 획득할 수 있으며, 이 재화는 NPC 켈돈 자비 상점에서 아이템 구매에 사용된다.","아포칼립스 : 안티엔바이 1, 2단계 클리어 시 다음의 보상을 획득할 수 있습니다. / 광휘의 잔영 / NPC 켈돈 자비 상점에서 다음 아이템 구매에 사용합니다.",보상명과 사용처를 함께 답한다.,qwen3:4b,"광휘의 잔영, 태초 광휘의 의지, 태초 소울 1개 상자, 에픽 소울 1개 상자, 영롱한 조율의 추 1개 상자, 광휘의 잔영 1개 상자 (계정귀속)",38.370,success,
Q002,DOC-01,fact,easy,태초 광휘의 의지는 광휘의 잔영 몇 개로 구매할 수 있고 구매 제한은 어떻게 되는가?,"태초 광휘의 의지는 광휘의 잔영 790개로 구매할 수 있으며, 계정당 1회 구매 제한이 있다.",태초 광휘의 의지 / 광휘의 잔영 790개 / 계정당 1회,가격과 계정 제한을 정확히 답한다.,qwen3:4b,"태초 광휘의 의지는 광휘의 잔영 790개로 구매 가능하며, 계정당 1회로 제한됩니다.",15.465,success,
Q003,DOC-01,fact,easy,태초 소울 1개 상자의 월 구매 제한과 가격은 무엇인가?,"태초 소울 1개 상자는 광휘의 잔영 120개로 구매할 수 있고, 계정당 월 4회 구매 가능하다.",태초 소울 1개 상자 / 광휘의 잔영 120개 / 계정당 월 4회,월 제한과 가격을 모두 포함한다.,qwen3:4b,"태초 소울 1개 상자의 월 구매 제한은 계정당 4회이며, 가격은 광휘의 잔영 790개입니다.",18.715,success,
Q004,DOC-01,condition,medium,에픽 소울 1개 상자의 남은 구매 횟수는 다음 달로 이월되는가?,이월된다. 남은 구매 횟수는 최대 15회까지 다음 달로 이월되어 적용된다.,에픽 소울 1개 상자 / 월 15회 / 남은 구매 횟수는 최대 15회까지 다음달로 이월되어 적용됩니다.,이월 가능 여부와 최대 이월 횟수를 답한다.,qwen3:4b,"네, 제공된 문서에 따르면 ""에픽 소울 1개 상자""의 남은 구매 횟수는 월 15회까지 다음 달로 이월되어 적용됩니다.",11.743,success,
Q005,DOC-02,fact,easy,5/20 퍼스트 서버 업데이트에서 추가된 신규 캐릭터는 누구인가?,신규 캐릭터 제국기사가 추가되었다.,신규 캐릭터 - 제국기사 / 신규 캐릭터 제국기사가 추가됩니다.,신규 캐릭터명을 정확히 답한다.,qwen3:4b,인파이터(여),42.811,success,
Q006,DOC-02,fact,easy,브레이커는 어떤 캐릭터의 몇 번째 전직인가?,브레이커는 신규 캐릭터 제국기사의 첫 번째 전직이다.,브레이커 / 신규 캐릭터 제국기사의 첫 번째 전직 브레이커가 업데이트됩니다.,전직 관계를 명확히 답한다.,qwen3:4b,"Breaker is the 2nd profession of the Tempter character. 

This conclusion is based on the document's ""캐릭터 컬렉션"" (Character Collection) section, where the line ""거거익선"" lists the progression path as ""퇴마사 / 브레이커 / 헌터 / 뱅가드"". This indicates that ""퇴마사"" (Tempter) is the starting profession, followed by ""브레이커"" (Breaker) as the second profession in the sequence. Therefore, Breaker corresponds to the 2nd profession within the Tempter character's progression path.",64.228,success,
Q007,DOC-02,fact,medium,브레이커의 덱 브레이커 스킬은 어떤 효과를 가지는가?,"덱 브레이커는 패시브 스킬이며, 기본 공격 및 전직 계열 스킬 공격력을 증가시키고 각성기를 제외한 전직 계열 스킬 쿨타임을 감소시킨다.","1레벨 - 덱 브레이커 / 패시브 스킬로, 기본 공격 및 전직 계열 스킬 공격력이 증가하며 각성기를 제외한 전직 계열 스킬 쿨타임이 감소합니다.",공격력 증가와 쿨타임 감소를 모두 답한다.,qwen3:4b,"제공된 문서에서 ""브레이커의 덱 브레이커 스킬""에 대한 정보가 확인할 수 없습니다. 문서는 인파이터(여) 클래스, 제국기사 컬렉션, 아포칼립스 : 안티엔바이 3단계(필사의 저지) 등과 관련된 내용만 포함하지만, 브레이커 클래스의 구체적인 스킬 효과에 대한 설명이 없습니다. 

따라서 정답은 **""제공된 문서에서 확인할 수 없습니다.""**입니다.",13.497,success,
Q008,DOC-02,summary,medium,5/20 퍼스트 서버 업데이트의 핵심을 유저 관점에서 짧게 요약해줘.,"5/20 퍼스트 서버에는 신규 캐릭터 제국기사와 첫 번째 전직 브레이커가 추가되며, 브레이커의 주요 스킬과 전투 특징이 공개되었다. 다만 퍼스트 서버 내용이라 라이브 서버 업데이트 시 변경될 수 있다.","금일 적용되는 업데이트 내용은 아래와 같으며, 관련 내용은 라이브 서버 업데이트 시 변경될 수 있습니다. / 신규 캐릭터 제국기사가 추가됩니다.",퍼스트 서버 변경 가능성을 함께 언급한다.,qwen3:4b,"제공된 문서에서 확인할 수 없습니다.  
(문서는 2026년 6월 4일 업데이트 시 적용되는 ""필사의 저지"" 난이도에 대한 내용만 포함하며, 5/20 퍼스트 서버 업데이트에 대한 정보가 제공되지 않았습니다.)",27.950,success,
Q009,DOC-03,fact,easy,광휘의 행로는 어떤 NPC 메뉴를 통해 진행할 수 있는가?,NPC 붉은 성화의 엘리아의 광휘의 행로 메뉴를 통해 진행할 수 있다.,NPC '붉은 성화의 엘리아'의 '광휘의 행로' 메뉴를 통해 광휘의 행로를 진행할 수 있습니다.,NPC명과 메뉴명을 답한다.,qwen3:4b,광휘의 행로는 NPC '붉은 성화의 엘리아'의 '광휘의 행로' 메뉴를 통해 진행할 수 있습니다.,9.002,success,
Q010,DOC-03,condition,easy,광휘의 행로 탐사는 어느 정도 명성부터 진행할 수 있는가?,"명성 58,950 이상의 캐릭터로 탐사를 진행할 수 있다.","명성 58,950 이상의 캐릭터로 탐사를 진행할 수 있습니다.",명성 수치를 정확히 답한다.,qwen3:4b,"광휘의 행로 탐사는 명성 58,950 이상의 캐릭터에서 진행할 수 있습니다. 제공된 문서에서 ""명성 58,950 이상의 캐릭터로 탐사를 진행할 수 있습니다""라고 명시되어 있습니다. 따라서 해당 조건을 충족하는 명성 수준을 정확히 확인할 수 있습니다.",9.183,success,
