question_id,doc_id,question_type,difficulty,model,accuracy,evidence_grounding,completeness,intent_fit,hallucination_control,scope_control,expression_quality,total_score,verdict,error_type,evaluator_note
Q001,DOC-01,fact,easy,qwen3:4b,1,2,1,1,2,3,2,12,미흡,핵심답변누락,"주요 재화인 광휘의 잔영과 사용처를 답해야 했지만 보상 목록 전체를 나열해 질문 의도에 맞는 핵심 답변이 흐려졌다."
Q002,DOC-01,fact,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"태초 광휘의 의지 가격 790개와 계정당 1회 제한을 정확히 답했다."
Q003,DOC-01,fact,easy,qwen3:4b,1,1,2,3,1,3,3,14,미흡,수치혼동,"월 4회 제한은 맞췄지만 가격을 120개가 아니라 다른 항목 가격인 790개로 답했다."
Q004,DOC-01,condition,medium,qwen3:4b,3,3,2,3,3,3,3,20,우수,정답,"에픽 소울 상자의 구매 횟수 이월 여부와 최대 15회 조건을 대체로 정확히 답했다."
Q005,DOC-02,fact,easy,qwen3:4b,0,0,0,1,0,3,2,6,실패,환각,"정답은 제국기사인데 인파이터(여)라고 답했다."
Q006,DOC-02,fact,easy,qwen3:4b,0,0,0,1,0,0,1,2,실패,환각,"브레이커는 제국기사의 첫 번째 전직인데 Tempter의 2nd profession이라고 영어로 설명하며 문서에 없는 관계를 만들었다."
Q007,DOC-02,fact,medium,qwen3:4b,0,0,0,2,2,2,2,8,실패,과잉거절,"덱 브레이커 효과가 문서에 있음에도 확인할 수 없다고 답했다."
Q008,DOC-02,summary,medium,qwen3:4b,0,0,0,1,1,1,2,5,실패,과잉거절,"5/20 퍼스트 서버 핵심 내용이 문서에 있음에도 확인할 수 없다고 답하고 문서 범위를 잘못 설명했다."
Q009,DOC-03,fact,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"NPC 붉은 성화의 엘리아와 광휘의 행로 메뉴를 정확히 답했다."
Q010,DOC-03,condition,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"명성 58,950 이상 조건을 정확히 답했다."
