question_id,doc_id,question_type,difficulty,question,gold_answer,evidence,expected_behavior
HF001,DNF-2927822,condition,easy,"던파ON 세트 조회에서 현재 장착 중인 세트 장비와 다른 세트는 어떻게 표시되는가?","현재 장착 중인 세트 장비가 우선으로 노출되며, ▽ 버튼을 터치하면 다른 세트를 확인할 수 있다.","캐릭터 별로 현재 장착 중인 세트 장비가 우선으로 노출되며, ▽ 버튼 터치 시 다른 세트를 확인할 수 있습니다.","우선 노출 대상과 다른 세트 확인 방법을 함께 답한다."
HF002,DNF-2927822,condition,easy,"던파ON 서약/서약 결정 조회에서 현재 장착 중인 서약 세트와 다른 세트는 어떻게 표시되는가?","현재 장착 중인 서약 세트가 우선으로 노출되며, ▽ 버튼을 터치하면 다른 세트를 확인할 수 있다.","캐릭터 별로 현재 장착 중인 서약 세트가 우선으로 노출되며, ▽ 버튼 터치 시 다른 세트를 확인할 수 있습니다.","우선 노출 대상과 다른 세트 확인 방법을 함께 답한다."
HF003,DNF-2927822,fact,easy,"던파ON 세트 조회는 캐릭터의 어떤 보관 위치를 조회하는가?","캐릭터의 무기고, 인벤토리, 캐릭터 금고를 조회한다.","캐릭터의 무기고, 인벤토리, 캐릭터 금고를 조회합니다.","세 가지 조회 위치를 모두 답한다."
HF004,DNF-2927822,fact,easy,"던파ON 무기 조회에서는 어떤 필터로 보유 여부와 개수를 확인할 수 있는가?","캐릭터별 필터와 무기 타입, 레어리티 필터를 통해 보유 여부와 개수를 확인할 수 있다.","캐릭터 별 필터를 통해 특정 캐릭터만 선택하여 조회할 수 있으며, / 무기 타입과 레어리티 필터를 통해 보유 여부 및 개수를 확인할 수 있습니다.","캐릭터 필터와 무기 타입/레어리티 필터를 함께 답한다."
HF005,DNF-2927810,fact,easy,"6/25 업데이트에서 트리니티의 유리스에는 무엇이 추가되는가?","트리니티의 유리스에 보이스가 추가된다.","트리니티 - 유리스에 보이스가 추가됩니다.","콘텐츠명, 대상, 추가 요소를 답한다."
HF006,DNF-2927810,fact,medium,"역설의 미궁에서 최종 데미지 증가 효과가 추가되는 유물은 무엇인가?","해소의 보구, 생명의 샘, 심연의 조율 - 상쇄, 심연의 조율 - 해방 유물에 최종 데미지 증가 효과가 추가된다.","역설의 미궁 - 해소의 보구, 생명의 샘, 심연의 조율 - 상쇄, 심연의 조율 - 해방 유물에 최종 데미지 증가 효과가 추가됩니다.","대상 유물 네 가지를 모두 답한다."
HF007,DNF-2927810,comparison,medium,"메카닉(여) 트랜스포메이션 스킬 레벨 상승 시 적용되는 장비 점수는 무엇과 같아지도록 바뀌는가?","메카닉(여)의 트랜스포메이션 스킬 레벨 상승 시 적용되는 점수가 하이테크놀로지와 동일하도록 변경된다.","장비 점수 - 메카닉(여) 캐릭터의 '트랜스포메이션' 스킬 레벨 상승 시 적용되는 점수가 '하이테크놀로지'와 동일하도록 변경됩니다.","대상 캐릭터, 스킬, 비교 기준을 답한다."
HF008,DNF-2927810,fact,easy,"액트 퀘스트 '사도 디레지에와 대면하다' 진행 중 무엇이 개선되는가?","일부 등장 인물의 이미지가 개선된다.","액트 퀘스트 '사도 디레지에와 대면하다' 진행 중 일부 등장 인물의 이미지가 개선됩니다.","퀘스트명과 개선 대상을 답한다."
HF009,DNF-2927810,fact,easy,"만들어진 신, 나벨의 참혹의 트라우마트에서 어떤 패턴이 완화되는가?","참혹의 트라우마트의 '타겟 스캔 완료, 변환 가동' 패턴이 완화된다.","만들어진 신, 나벨 - 참혹의 트라우마트 '타겟 스캔 완료, 변환 가동' 패턴이 완화됩니다.","콘텐츠, 몬스터, 패턴명을 답한다."
HF010,DNF-2927810,condition,medium,"트리니티 보상 받기를 일반 채널에서 할 때 어떤 미션 카운트 문제가 수정되는가?","일반 채널에서 보상 받기를 할 경우 모든 미션 클리어 미션의 카운트가 되지 않는 현상이 수정된다.","트리니티 - 일반 채널에서 보상 받기를 할 경우 모든 미션 클리어 미션의 카운트가 되지 않는 현상이 수정됩니다.","조건과 수정된 카운트 문제를 함께 답한다."
