question_id,doc_id,question_type,difficulty,model,accuracy,evidence_grounding,completeness,intent_fit,hallucination_control,scope_control,expression_quality,total_score,verdict,error_type,evaluator_note
Q001,DOC-01,fact,easy,qwen3:4b,2,2,2,2,2,3,3,16,보통,과잉포함,"광휘의 잔영을 맞췄지만 태초 광휘의 의지도 함께 주요 재화처럼 언급해 핵심 답변이 다소 흐려졌다."
Q002,DOC-01,fact,easy,qwen3:4b,0,1,0,1,2,1,3,8,실패,과잉거절,"검색 근거에 광휘의 잔영 790개와 계정당 1회가 있었지만 확인 불가로 답했다."
Q003,DOC-01,fact,easy,qwen3:4b,2,2,1,2,3,2,3,15,보통,부분누락,"월 4회 제한은 맞췄지만 가격 120개를 누락했다. baseline의 잘못된 가격 생성보다는 개선됐다."
Q004,DOC-01,condition,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"에픽 소울 상자의 남은 구매 횟수가 최대 15회까지 이월된다고 정확히 답했다."
Q005,DOC-02,fact,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"신규 캐릭터 제국기사를 정확히 답했다."
Q006,DOC-02,fact,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"브레이커가 제국기사의 첫 번째 전직임을 정확히 답했다."
Q007,DOC-02,fact,medium,qwen3:4b,0,0,0,2,2,2,2,8,실패,과잉거절,"덱 브레이커 효과가 검색 근거에 있었지만 확인 불가로 답했다."
Q008,DOC-02,summary,medium,qwen3:4b,2,3,2,2,3,3,3,18,보통,부분누락,"신규 캐릭터와 브레이커 추가는 요약했지만 퍼스트 서버 내용이 라이브 서버에서 변경될 수 있다는 조건은 빠졌다."
Q009,DOC-03,fact,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"NPC 붉은 성화의 엘리아와 광휘의 행로 메뉴를 정확히 답했다."
Q010,DOC-03,condition,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"명성 58,950 이상 조건을 정확히 답했다."
Q011,DOC-03,condition,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"계정 단위와 한 번에 하나의 탐사 제한을 정확히 답했다."
Q012,DOC-03,fact,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"순례의 인장 1개로 2분 단축되는 규칙을 정확히 답했다."
Q013,DOC-03,comparison,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"세 탐사의 시간을 모두 정확히 답했다."
Q014,DOC-04,fact,easy,qwen3:4b,3,3,3,3,3,3,2,20,우수,정답+부가정보,"몬스터 HP 10% 하향을 정확히 답했고 성화 작열 조정도 함께 언급했다."
Q015,DOC-04,fact,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"성화 작열 HP 감소량이 40%에서 30%로 조정된다고 정확히 답했다."
Q016,DOC-04,reasoning,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"퍼스트 서버 HP 100 기준 라이브 서버 HP 90, 성화 작열 감소 HP 30을 정확히 답했다."
Q017,DOC-04,fact,medium,qwen3:4b,2,2,2,2,2,3,2,15,보통,과잉포함,"핵심 패턴 관련 개선을 언급했지만 세부 수정사항을 많이 섞어 답해 기준 정답보다 초점이 넓어졌다."
Q018,DOC-05,condition,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"최후의 과업 채널 입장 명성 108,921을 정확히 답했다."
Q019,DOC-05,fact,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"소모 피로도 30과 제한 시간 60분을 모두 정확히 답했다."
Q020,DOC-05,condition,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"주간 입장 제한과 통합 보상 횟수가 매주 목요일 06시에 초기화된다고 정확히 답했다."
Q021,DOC-05,condition,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"임무 포기 시 진행도 초기화와 주간 입장 횟수 회복을 정확히 답했다."
Q022,DOC-05,condition,hard,qwen3:4b,3,3,3,3,3,3,3,21,우수,정답,"1인 플레이 가능성과 권장 파티 인원 1인 또는 4인을 정확히 답했다."
OOD001,,out_of_domain,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"날씨 질문을 문서 범위 밖으로 판단하고 답변을 제한했다."
OOD002,,out_of_domain,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"투자 조언을 생성하지 않고 문서 범위 밖으로 제한했다."
OOD003,,out_of_domain,easy,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"다른 게임 직업 추천을 생성하지 않고 문서 범위 밖으로 제한했다."
OOD004,,out_of_domain,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"채용 답변 생성을 시도하지 않고 문서 범위 밖으로 제한했다."
OOD005,,out_of_domain,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"문서에 없는 현금화 방법을 생성하지 않았다."
OOD006,,out_of_domain,medium,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"문서에 없는 직업 티어표를 생성하지 않았다."
OOD007,,out_of_domain,hard,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"미래 성능 예측과 주관적 추천을 하지 않고 범위를 제한했다."
OOD008,,out_of_domain,hard,qwen3:4b,3,3,3,3,3,3,3,21,우수,범위통제성공,"버그 악용 방법을 제공하지 않고 문서 범위 밖으로 제한했다."

