question_id,doc_id,question_type,difficulty,question,gold_answer,evidence,expected_behavior
SRP001,DNF-2927810,probe_target_shop_direct,easy,"전리품 상점에 새로 추가되는 검은 재앙 1개 상자(초월의 의지)의 가격과 구매 제한은 무엇인가?","검은 재앙 1개 상자(초월의 의지)는 전리품 상점 신규 물품이며, 가격은 초월의 의지 50개이고 구매 제한은 계정당 주 10회다.","전리품 상점에 신규 물품이 추가됩니다. / 검은 재앙 1개 상자(초월의 의지) / 초월의 의지 50개 / 계정당 주 10회","item_name, price, purchase_limit를 함께 답한다."
SRP002,DNF-2927810,probe_target_shop_paraphrase,easy,"검은 재앙 1개 상자(초월의 의지)를 전리품 상점에서 사려면 초월의 의지가 몇 개 필요하고 주간 제한은 어떻게 되는가?","검은 재앙 1개 상자(초월의 의지)는 초월의 의지 50개가 필요하며, 계정당 주 10회 구매할 수 있다.","검은 재앙 1개 상자(초월의 의지) / 초월의 의지 50개 / 계정당 주 10회","가격과 주간 구매 제한을 함께 답한다."
SRP003,DNF-2927810,probe_target_shop_completeness,medium,"전리품 상점 신규 물품 검은 재앙 1개 상자(초월의 의지)의 설명, 거래 타입, 가격, 구매 제한을 모두 알려줘.","검은 재앙 1개 상자(초월의 의지)는 사용 시 검은 재앙 1개를 획득하는 계정귀속 아이템이며, 가격은 초월의 의지 50개이고 구매 제한은 계정당 주 10회다.","검은 재앙 1개 상자(초월의 의지) / 사용 시 검은 재앙 1개를 획득할 수 있습니다. / 계정귀속 / 초월의 의지 50개 / 계정당 주 10회","설명, 거래 타입, 가격, 구매 제한을 모두 답한다."
SRP004,DNF-2927810,probe_target_shop_direct,easy,"보이드 소울 2개(초월의 의지) 물품 판매 가격은 변경 전과 변경 후가 각각 어떻게 되는가?","보이드 소울 2개(초월의 의지)의 판매 가격은 초월의 의지 50개에서 초월의 의지 25개로 조정된다.","'보이드 소울 2개(초월의 의지)' 물품 판매 가격이 조정됩니다. / 초월의 의지 50개 → 초월의 의지 25개","변경 전후 가격을 모두 답한다."
SRP005,DNF-2927810,probe_target_shop_paraphrase,easy,"보이드 소울 2개(초월의 의지)의 판매 가격은 초월의 의지 몇 개에서 몇 개로 낮아졌나?","보이드 소울 2개(초월의 의지)는 초월의 의지 50개에서 25개로 낮아졌다.","'보이드 소울 2개(초월의 의지)' 물품 판매 가격이 조정됩니다. / 초월의 의지 50개 → 초월의 의지 25개","대상 물품과 변경 전후 가격을 답한다."
SRP006,DNF-2927810,probe_target_shop_completeness,medium,"보이드 소울 2개(초월의 의지)의 판매 가격 조정과 구매 제한 정보를 함께 확인해줘.","보이드 소울 2개(초월의 의지)의 판매 가격은 초월의 의지 50개에서 25개로 조정된다. 이 근거에서는 구매 제한 정보는 확인되지 않는다.","'보이드 소울 2개(초월의 의지)' 물품 판매 가격이 조정됩니다. / 초월의 의지 50개 → 초월의 의지 25개","가격 조정은 답하고, 구매 제한은 문서 근거에 없다고 답한다."
SRP007,DNF-2927810,probe_target_change_direct,medium,"빛의 서약 확정 획득 진행 시 필요 재료와 경험치 소모량은 어떻게 바뀌는가?","빛의 서약 확정 획득 진행 시 필요 재료는 프라임 스텔라 10개에서 재료를 소모하지 않음으로 바뀌며, 경험치 소모량은 기존과 동일하다.","빛의 서약 확정 획득 조정 / 프라임 스텔라 10개 → 재료를 소모하지 않음 / 경험치 소모량은 기존과 동일합니다.","변경된 재료와 유지되는 경험치 소모량을 함께 답한다."
SRP008,DNF-2927810,probe_target_change_paraphrase,medium,"빛의 서약 확정 획득에서 프라임 스텔라 10개는 계속 필요한가, 그리고 경험치 소모량은 달라지나?","프라임 스텔라 10개는 더 이상 필요하지 않아 재료를 소모하지 않으며, 경험치 소모량은 기존과 동일하다.","프라임 스텔라 10개 → 재료를 소모하지 않음 / 경험치 소모량은 기존과 동일합니다.","프라임 스텔라 소모 여부와 경험치 소모량 유지 여부를 답한다."
SRP009,DNF-2927810,probe_target_change_completeness,medium,"빛의 서약 확정 획득 조정에서 바뀐 항목과 유지되는 항목을 나눠서 설명해줘.","바뀐 항목은 필요 재료로, 프라임 스텔라 10개 소모에서 재료를 소모하지 않음으로 변경된다. 유지되는 항목은 경험치 소모량이며 기존과 동일하다.","빛의 서약 확정 획득 조정 / 프라임 스텔라 10개 → 재료를 소모하지 않음 / 경험치 소모량은 기존과 동일합니다.","before/after와 unchanged를 구분해 답한다."
SRP010,DNF-2927691,probe_target_change_direct,easy,"아라드 나침반에서 보상 수령 관련 어떤 버튼이 추가되는가?","아라드 나침반에서 수령 가능한 보상이 있을 때 일괄 획득할 수 있는 '모두 받기' 버튼이 추가된다.","아라드 나침반 - 수령 가능한 보상이 있다면, 일괄 획득할 수 있도록 '모두 받기' 버튼이 추가됩니다.","기능 대상, 조건, 버튼명을 답한다."
SRP011,DNF-2927691,probe_target_change_paraphrase,easy,"아라드 나침반에서 받을 수 있는 보상이 있을 때 한 번에 받도록 추가된 기능은 무엇인가?","수령 가능한 보상이 있을 때 일괄 획득할 수 있는 '모두 받기' 버튼이 추가된다.","아라드 나침반 - 수령 가능한 보상이 있다면, 일괄 획득할 수 있도록 '모두 받기' 버튼이 추가됩니다.","조건과 버튼 동작을 함께 답한다."
SRP012,DNF-2927691,probe_target_change_completeness,medium,"아라드 나침반의 모두 받기 버튼은 어떤 상황에서 어떤 동작을 하도록 추가되었나?","수령 가능한 보상이 있는 상황에서, 보상을 일괄 획득할 수 있도록 '모두 받기' 버튼이 추가되었다.","아라드 나침반 - 수령 가능한 보상이 있다면, 일괄 획득할 수 있도록 '모두 받기' 버튼이 추가됩니다.","조건, 동작, 버튼명을 모두 답한다."
SRP013,DNF-2927822,probe_target_change_direct,easy,"무기고 조회 서비스 추가에 따라 GBL 연구소에서 제거되는 서비스는 무엇인가?","무기고 조회 서비스 추가에 따라 기존 GBL 연구소의 보유 세트 서비스와 보유 서약 서비스가 제거된다.","GBL 연구소 > 보유 세트 / 보유 서약 서비스 제거 / 무기고 조회 서비스 추가에 따라 기존 GBL 연구소의 보유 세트와 보유 서약 서비스가 제거됩니다.","제거되는 서비스 두 가지를 모두 답한다."
SRP014,DNF-2927822,probe_target_change_paraphrase,easy,"던파ON 무기고 조회가 추가된 뒤 GBL 연구소에서 사라지는 두 메뉴는 무엇인가?","던파ON 무기고 조회 서비스 추가에 따라 GBL 연구소의 보유 세트와 보유 서약 서비스가 사라진다.","GBL 연구소 > 보유 세트 / 보유 서약 서비스 제거 / 무기고 조회 서비스 추가에 따라 기존 GBL 연구소의 보유 세트와 보유 서약 서비스가 제거됩니다.","보유 세트와 보유 서약을 모두 답한다."
SRP015,DNF-2927822,probe_target_change_completeness,medium,"GBL 연구소의 보유 세트와 보유 서약 서비스는 어떤 이유로 어떻게 변경되는가?","무기고 조회 서비스 추가에 따라 GBL 연구소의 보유 세트 서비스와 보유 서약 서비스가 제거된다.","GBL 연구소 > 보유 세트 / 보유 서약 서비스 제거 / 무기고 조회 서비스 추가에 따라 기존 GBL 연구소의 보유 세트와 보유 서약 서비스가 제거됩니다.","변경 원인과 제거 대상을 함께 답한다."
SRP016,DNF-2927756,probe_target_change_direct,medium,"브레이커 질풍 개화 옵션에서 타이드 바운드 기본 쿨타임은 어떻게 바뀌고 공격력 11.5% 감소 조건은 어떻게 되는가?","브레이커의 질풍 개화 옵션에서 타이드 바운드 기본 쿨타임은 12초에서 9초로 변경되며, 공격력 11.5% 감소 조건은 유지된다.","'질풍' 스킬 개화 옵션이 변경됩니다. / 기본 쿨타임 12초로 변경 / 9초 / 로 변경 / 공격력 11.5% 감소","개화 옵션, 대상 스킬, before, after, unchanged를 답한다."
SRP017,DNF-2927756,probe_target_change_paraphrase,medium,"질풍 옵션의 타이드 바운드는 기본 쿨타임이 12초에서 몇 초로 바뀌며, 공격력 감소는 유지되나?","질풍 옵션의 타이드 바운드 기본 쿨타임은 12초에서 9초로 바뀌며, 공격력 11.5% 감소는 유지된다.","기본 쿨타임 12초로 변경 / 9초 / 로 변경 / 공격력 11.5% 감소","변경 전후 쿨타임과 공격력 감소 유지 여부를 답한다."
SRP018,DNF-2927756,probe_target_change_completeness,medium,"브레이커 질풍 개화 옵션 변경에서 변경 전, 변경 후, 유지 조건을 각각 정리해줘.","변경 전은 타이드 바운드 기본 쿨타임 12초, 변경 후는 기본 쿨타임 9초이며, 공격력 11.5% 감소 조건은 유지된다.","'질풍' 스킬 개화 옵션이 변경됩니다. / 기본 쿨타임 12초로 변경 / 9초 / 로 변경 / 공격력 11.5% 감소","before/after/unchanged를 빠뜨리지 않는다."
SRP019,DNF-2927756,probe_target_change_direct,medium,"브레이커 격랑 개화 옵션에서 공격력 15.8% 감소가 17.6% 감소로 바뀐 대상 스킬은 무엇인가?","브레이커의 격랑 개화 옵션에서 대상 스킬은 훅 샷이며, 훅 샷의 공격력 감소 수치가 15.8%에서 17.6%로 변경된다.","'격랑' 스킬 개화 옵션이 변경됩니다. / [훅 샷] / 공격력 15.8% 감소 / 17.6% / 감소","개화 옵션명, 대상 스킬, 변경 전후 수치를 답한다."
SRP020,DNF-2927756,probe_target_change_paraphrase,medium,"15.8%에서 17.6%로 공격력 감소 수치가 바뀐 것은 브레이커의 어떤 개화 옵션과 어떤 스킬인가?","브레이커의 격랑 개화 옵션에서 훅 샷의 공격력 감소 수치가 15.8%에서 17.6%로 바뀐다.","'격랑' 스킬 개화 옵션이 변경됩니다. / [훅 샷] / 공격력 15.8% 감소 / 17.6% / 감소","옵션명, 스킬명, 수치 변경을 답한다."
