"retriever","question_id","doc_id","question_type","difficulty","question","retrieved_chunk_ids","top1_chunk_id","phrase_hits","phrase_total","phrase_hit_ratio","token_recall","evidence_hit","top1_phrase_hits","top1_phrase_total","top1_phrase_hit_ratio","top1_token_recall","top1_evidence_hit","status","error"
"bm25","Q001","DOC-01","fact","easy","아포칼립스 : 안티엔바이 1, 2단계 클리어 시 새로 얻을 수 있는 주요 재화는 무엇인가?","DOC-01-C0001|DOC-01-C0002|DOC-01-C0003|DOC-01-C0019|DOC-01-C0020|DOC-01-C0021|DOC-01-C0022|DOC-01-C0023","DOC-01-C0001","3","3","1.000","1.000","1","3","3","1.000","1.000","1","retrieved",""
"bm25","Q002","DOC-01","fact","easy","태초 광휘의 의지는 광휘의 잔영 몇 개로 구매할 수 있고 구매 제한은 어떻게 되는가?","DOC-01-C0005|DOC-01-C0007|DOC-01-C0009|DOC-01-C0008|DOC-01-C0010|DOC-01-C0006|DOC-01-C0011|DOC-01-C0012","DOC-01-C0005","3","3","1.000","1.000","1","1","3","0.333","0.778","1","retrieved",""
"bm25","Q003","DOC-01","fact","easy","태초 소울 1개 상자의 월 구매 제한과 가격은 무엇인가?","DOC-01-C0009|DOC-01-C0005|DOC-01-C0006|DOC-01-C0008|DOC-01-C0011|DOC-01-C0012|DOC-01-C0010|DOC-01-C0007","DOC-01-C0009","3","3","1.000","1.000","1","1","3","0.333","1.000","1","retrieved",""
"bm25","Q004","DOC-01","condition","medium","에픽 소울 1개 상자의 남은 구매 횟수는 다음 달로 이월되는가?","DOC-01-C0012|DOC-01-C0013|DOC-01-C0011|DOC-01-C0014|DOC-01-C0015|DOC-01-C0010|DOC-01-C0009|DOC-01-C0016","DOC-01-C0012","3","3","1.000","1.000","1","3","3","1.000","1.000","1","retrieved",""
"bm25","Q005","DOC-02","fact","easy","5/20 퍼스트 서버 업데이트에서 추가된 신규 캐릭터는 누구인가?","DOC-02-C0037|DOC-02-C0128|DOC-02-C0129|DOC-02-C0127|DOC-02-C0038|DOC-02-C0126|DOC-02-C0039|DOC-02-C0130","DOC-02-C0037","2","2","1.000","1.000","1","2","2","1.000","1.000","1","retrieved",""
"bm25","Q006","DOC-02","fact","easy","브레이커는 어떤 캐릭터의 몇 번째 전직인가?","DOC-02-C0041|DOC-02-C0043|DOC-02-C0042|DOC-02-C0040|DOC-02-C0044|DOC-02-C0075|DOC-02-C0076|DOC-02-C0074","DOC-02-C0041","2","2","1.000","1.000","1","2","2","1.000","1.000","1","retrieved",""
"bm25","Q007","DOC-02","fact","medium","브레이커의 덱 브레이커 스킬은 어떤 효과를 가지는가?","DOC-02-C0074|DOC-02-C0073|DOC-02-C0060|DOC-02-C0059|DOC-02-C0075|DOC-02-C0058|DOC-02-C0061|DOC-02-C0072","DOC-02-C0074","0","2","0.000","0.863","1","0","2","0.000","0.275","0","retrieved",""
"bm25","Q008","DOC-02","summary","medium","5/20 퍼스트 서버 업데이트의 핵심을 유저 관점에서 짧게 요약해줘.","DOC-02-C0037|DOC-02-C0038|DOC-02-C0039|DOC-02-C0130|DOC-02-C0040|DOC-02-C0290|DOC-02-C0289|DOC-02-C0291","DOC-02-C0037","2","2","1.000","1.000","1","2","2","1.000","1.000","1","retrieved",""
"bm25","Q009","DOC-03","fact","easy","광휘의 행로는 어떤 NPC 메뉴를 통해 진행할 수 있는가?","DOC-03-C0319|DOC-03-C0321|DOC-03-C0320|DOC-03-C0322|DOC-03-C0355|DOC-03-C0351|DOC-03-C0354|DOC-03-C0352","DOC-03-C0319","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bm25","Q010","DOC-03","condition","easy","광휘의 행로 탐사는 어느 정도 명성부터 진행할 수 있는가?","DOC-03-C0319|DOC-03-C0321|DOC-03-C0320|DOC-03-C0322|DOC-03-C0323|DOC-03-C0355|DOC-03-C0351|DOC-03-C0354","DOC-03-C0319","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
"bm25","Q011","DOC-03","condition","medium","광휘의 행로 탐사는 여러 개를 동시에 진행할 수 있는가?","DOC-03-C0321|DOC-03-C0320|DOC-03-C0319|DOC-03-C0322|DOC-03-C0323|DOC-03-C0332|DOC-03-C0355|DOC-03-C0351","DOC-03-C0321","1","1","1.000","1.000","1","1","1","1.000","1.000","1","retrieved",""
